"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2012","2012","PER","Persons","0","Units",,,247,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2013","2013","PER","Persons","0","Units",,,249,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2014","2014","PER","Persons","0","Units",,,250,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2015","2015","PER","Persons","0","Units",,,247,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2001","2001","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2002","2002","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2003","2003","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2004","2004","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2005","2005","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2006","2006","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2007","2007","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2008","2008","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2009","2009","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2010","2010","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2011","2011","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2012","2012","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2013","2013","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2014","2014","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2015","2015","RATIO","Ratio","0","Units",,,0.1,,
"USA152","Webb","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"MEX61","San Juan del Rio","POP_DEN","Population density (pop. per km2)","2000","2000","PER","Persons","0","Units",,,251,,
"MEX61","San Juan del Rio","POP_DEN","Population density (pop. per km2)","2005","2005","PER","Persons","0","Units",,,261,,
"MEX61","San Juan del Rio","POP_DEN","Population density (pop. per km2)","2010","2010","PER","Persons","0","Units",,,311,,
"MEX61","San Juan del Rio","POP_DEN","Population density (pop. per km2)","2015","2015","PER","Persons","0","Units",,,374,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2000","2000","PER","Persons","0","Units",,,300,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2001","2001","PER","Persons","0","Units",,,301,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2002","2002","PER","Persons","0","Units",,,301,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2003","2003","PER","Persons","0","Units",,,301,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2004","2004","PER","Persons","0","Units",,,302,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2005","2005","PER","Persons","0","Units",,,302,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2006","2006","PER","Persons","0","Units",,,301,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2007","2007","PER","Persons","0","Units",,,300,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2008","2008","PER","Persons","0","Units",,,299,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2009","2009","PER","Persons","0","Units",,,298,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2010","2010","PER","Persons","0","Units",,,297,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2011","2011","PER","Persons","0","Units",,,295,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2012","2012","PER","Persons","0","Units",,,294,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2013","2013","PER","Persons","0","Units",,,293,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2014","2014","PER","Persons","0","Units",,,292,,
"JPN34","Koriyama","POP_DEN","Population density (pop. per km2)","2015","2015","PER","Persons","0","Units",,,290,,
"KOR09","Deokjin","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2001","2001","RATIO","Ratio","0","Units",,,1.5,,
"KOR09","Deokjin","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2002","2002","RATIO","Ratio","0","Units",,,1.5,,
"KOR09","Deokjin","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2003","2003","RATIO","Ratio","0","Units",,,1.5,,
"KOR09","Deokjin","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2004","2004","RATIO","Ratio","0","Units",,,1.5,,
"KOR09","Deokjin","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2005","2005","RATIO","Ratio","0","Units",,,1.5,,
